lambda: 2.777778 mu: 4.166667
  0 SNES Function norm 16.5137
    0 KSP Residual norm 16.5137
    1 KSP Residual norm 5.90187
    2 KSP Residual norm 3.13347
    3 KSP Residual norm 1.64491
    4 KSP Residual norm 0.466487
    5 KSP Residual norm 0.217727
    6 KSP Residual norm 0.182436
    7 KSP Residual norm 0.160098
  1 SNES Function norm 3.92271
    0 KSP Residual norm 3.92271
    1 KSP Residual norm 3.55921
    2 KSP Residual norm 2.18599
    3 KSP Residual norm 0.659668
    4 KSP Residual norm 0.495781
    5 KSP Residual norm 0.17165
    6 KSP Residual norm 0.119349
    7 KSP Residual norm 0.10999
    8 KSP Residual norm 0.079057
    9 KSP Residual norm 0.0248633
  2 SNES Function norm 3.37817
    0 KSP Residual norm 3.37817
    1 KSP Residual norm 1.42793
    2 KSP Residual norm 1.18338
    3 KSP Residual norm 0.693845
    4 KSP Residual norm 0.52301
    5 KSP Residual norm 0.263488
    6 KSP Residual norm 0.165708
    7 KSP Residual norm 0.130333
    8 KSP Residual norm 0.0751796
    9 KSP Residual norm 0.0321873
  3 SNES Function norm 1.02379
    0 KSP Residual norm 1.02379
    1 KSP Residual norm 0.602204
    2 KSP Residual norm 0.239794
    3 KSP Residual norm 0.171891
    4 KSP Residual norm 0.118955
    5 KSP Residual norm 0.110486
    6 KSP Residual norm 0.0815254
    7 KSP Residual norm 0.0450229
    8 KSP Residual norm 0.0215399
    9 KSP Residual norm 0.00440193
  4 SNES Function norm 0.0377962
    0 KSP Residual norm 0.0377962
    1 KSP Residual norm 0.0144624
    2 KSP Residual norm 0.00660314
    3 KSP Residual norm 0.00510629
    4 KSP Residual norm 0.00433862
    5 KSP Residual norm 0.00279116
    6 KSP Residual norm 0.00222961
    7 KSP Residual norm 0.00155667
    8 KSP Residual norm 0.000687902
    9 KSP Residual norm 0.000252733
  5 SNES Function norm 0.000266852
    0 KSP Residual norm 0.000266852
    1 KSP Residual norm 0.000214877
    2 KSP Residual norm 0.000150136
    3 KSP Residual norm 0.00010628
    4 KSP Residual norm 8.5076e-05
    5 KSP Residual norm 5.80651e-05
    6 KSP Residual norm 4.03327e-05
    7 KSP Residual norm 2.56523e-05
    8 KSP Residual norm 1.26628e-05
    9 KSP Residual norm 3.91433e-06
   10 KSP Residual norm 1.24759e-06
  6 SNES Function norm 1.24587e-06
    0 KSP Residual norm 1.24587e-06
    1 KSP Residual norm 8.22637e-07
    2 KSP Residual norm 3.7143e-07
    3 KSP Residual norm 2.11269e-07
    4 KSP Residual norm 1.87732e-07
    5 KSP Residual norm 1.82761e-07
    6 KSP Residual norm 1.80192e-07
    7 KSP Residual norm 1.74691e-07
    8 KSP Residual norm 1.42854e-07
    9 KSP Residual norm 1.10236e-07
   10 KSP Residual norm 7.98668e-08
   11 KSP Residual norm 3.70408e-08
   12 KSP Residual norm 1.90384e-08
   13 KSP Residual norm 3.72214e-09
  7 SNES Function norm 3.72214e-09
Nonlinear solve converged due to CONVERGED_FNORM_RELATIVE iterations 7
Number of SNES iterations = 7
